,task,pattern,TP,FP,TN,FN,P,R,F1
0,negation1,P1,336,89,793,0,0.7905882352941176,1.0,0.8830486202365309
1,negation1,P1|N1,258,18,864,78,0.9347826086956522,0.7678571428571429,0.8431372549019608
2,negation1,P1|P2|NEG,24,50,832,312,0.32432432432432434,0.07142857142857142,0.11707317073170731
3,negation1,P1|P2|NEG|N1,24,8,874,312,0.75,0.07142857142857142,0.13043478260869565
4,negation2,P1,332,62,818,0,0.8426395939086294,1.0,0.9146005509641872
5,negation2,P1|N1,204,45,835,128,0.8192771084337349,0.6144578313253012,0.7022375215146299
6,negation2,P1|P2|NEG,4,0,880,328,1.0,0.012048192771084338,0.02380952380952381
7,negation2,P1|P3|nNEG,149,10,870,183,0.9371069182389937,0.44879518072289154,0.6069246435845214
8,negation2,P1|P2|NEG|N1,3,0,880,329,1.0,0.009036144578313253,0.01791044776119403
9,negation2,P1|P3|nNEG|N1,22,8,872,310,0.7333333333333333,0.06626506024096386,0.12154696132596686
10,numerals1,P1|NEG,64,2,1146,0,0.9696969696969697,1.0,0.9846153846153847
11,numerals1,P1|NEG|N1,64,0,1148,0,1.0,1.0,1.0
12,numerals1,P1|NEG|N2,64,0,1148,0,1.0,1.0,1.0
13,numerals1,P1|NEG|N1|N2,64,0,1148,0,1.0,1.0,1.0
14,numerals1,P1|P2|NEG,0,0,1148,64,0.0,0.0,0.0
15,numerals1,P1|P2|NEG|N1,0,0,1148,64,0.0,0.0,0.0
16,numerals1,P1|P2|NEG|N2,0,0,1148,64,0.0,0.0,0.0
17,numerals1,P1|P2|NEG|N1|N2,0,0,1148,64,0.0,0.0,0.0
18,numerals1,P1|P2|P3|NEG,0,0,1148,64,0.0,0.0,0.0
19,numerals1,P1|P2|P3|NEG|N1,0,0,1148,64,0.0,0.0,0.0
20,numerals1,P1|P2|P3|NEG|N2,0,0,1148,64,0.0,0.0,0.0
21,numerals1,P1|P2|P3|NEG|N1|N2,0,0,1148,64,0.0,0.0,0.0
22,numerals2,P1|NEG,115,3,1094,0,0.9745762711864406,1.0,0.9871244635193133
23,numerals2,P1|NEG|N1,115,3,1094,0,0.9745762711864406,1.0,0.9871244635193133
24,numerals2,P1|NEG|N2,111,1,1096,4,0.9910714285714286,0.9652173913043478,0.9779735682819383
25,numerals2,P1|NEG|N1|N2,111,1,1096,4,0.9910714285714286,0.9652173913043478,0.9779735682819383
26,numerals2,P1|P2|NEG,8,3,1094,107,0.7272727272727273,0.06956521739130435,0.12698412698412698
27,numerals2,P1|P2|NEG|N1,8,3,1094,107,0.7272727272727273,0.06956521739130435,0.12698412698412698
28,numerals2,P1|P2|NEG|N2,4,1,1096,111,0.8,0.034782608695652174,0.06666666666666667
29,numerals2,P1|P2|NEG|N1|N2,4,1,1096,111,0.8,0.034782608695652174,0.06666666666666667
30,numerals2,P1|P2|P3|NEG,5,1,1096,110,0.8333333333333334,0.043478260869565216,0.08264462809917356
31,numerals2,P1|P2|P3|NEG|N1,5,1,1096,110,0.8333333333333334,0.043478260869565216,0.08264462809917356
32,numerals2,P1|P2|P3|NEG|N2,1,1,1096,114,0.5,0.008695652173913044,0.017094017094017096
33,numerals2,P1|P2|P3|NEG|N1|N2,1,1,1096,114,0.5,0.008695652173913044,0.017094017094017096
34,spatial1,P1|NEG,271,266,554,115,0.5046554934823091,0.7020725388601037,0.5872156013001083
35,spatial1,P1|NEG|N1,177,184,636,209,0.4903047091412742,0.4585492227979275,0.4738955823293172
36,spatial1,P1|NEG|N2,213,264,556,173,0.44654088050314467,0.5518134715025906,0.4936268829663963
37,spatial1,P1|NEG|N1|N2,177,182,638,209,0.49303621169916434,0.4585492227979275,0.47516778523489933
38,spatial1,P1|P2|NEG,141,118,702,245,0.5444015444015444,0.36528497409326427,0.4372093023255814
39,spatial1,P1|P2|NEG|N1,55,37,783,331,0.5978260869565217,0.14248704663212436,0.2301255230125523
40,spatial1,P1|P2|NEG|N2,87,118,702,299,0.424390243902439,0.22538860103626943,0.29441624365482233
41,spatial1,P1|P2|NEG|N1|N2,55,37,783,331,0.5978260869565217,0.14248704663212436,0.2301255230125523
42,spatial2,P1|NEG,233,36,943,0,0.8661710037174721,1.0,0.9282868525896414
43,spatial2,P1|NEG|N1,233,35,944,0,0.8694029850746269,1.0,0.9301397205588823
44,spatial2,P1|NEG|N2,233,25,954,0,0.9031007751937985,1.0,0.9490835030549899
45,spatial2,P1|NEG|N1|N2,233,25,954,0,0.9031007751937985,1.0,0.9490835030549899
46,spatial2,P1|P2|NEG,79,1,978,154,0.9875,0.33905579399141633,0.5047923322683707
47,spatial2,P1|P2|NEG|N1,79,1,978,154,0.9875,0.33905579399141633,0.5047923322683707
48,spatial2,P1|P2|NEG|N2,79,1,978,154,0.9875,0.33905579399141633,0.5047923322683707
49,spatial2,P1|P2|NEG|N1|N2,79,1,978,154,0.9875,0.33905579399141633,0.5047923322683707
50,temporal1,P1,515,126,595,0,0.8034321372854915,1.0,0.8910034602076126
51,temporal1,P1|N1,513,37,684,2,0.9327272727272727,0.996116504854369,0.9633802816901408
52,temporal1,P1|N2,514,78,643,1,0.8682432432432432,0.9980582524271845,0.9286359530261968
53,temporal1,P1|N1|N2,512,20,701,3,0.9624060150375939,0.9941747572815534,0.9780324737344794
54,temporal1,P1|P2|NEG,198,57,664,317,0.7764705882352941,0.3844660194174757,0.5142857142857142
55,temporal1,P1|P2|NEG|N1,197,7,714,318,0.9656862745098039,0.3825242718446602,0.5479833101529902
56,temporal1,P1|P2|NEG|N2,198,53,668,317,0.7888446215139442,0.3844660194174757,0.5169712793733682
57,temporal1,P1|P2|NEG|N1|N2,197,6,715,318,0.9704433497536946,0.3825242718446602,0.5487465181058495
58,temporal2,P1,305,357,562,0,0.4607250755287009,1.0,0.6308169596690796
59,temporal2,P1|N1,303,81,838,2,0.7890625,0.9934426229508196,0.8795355587808418
60,temporal2,P1|N2,303,300,619,2,0.5024875621890548,0.9934426229508196,0.6674008810572687
61,temporal2,P1|N1|N2,303,71,848,2,0.8101604278074866,0.9934426229508196,0.8924889543446245
62,temporal2,P1|P2|NEG,166,84,835,139,0.664,0.5442622950819672,0.5981981981981982
63,temporal2,P1|P2|NEG|N1,164,12,907,141,0.9318181818181818,0.5377049180327869,0.681912681912682
64,temporal2,P1|P2|NEG|N2,164,82,837,141,0.6666666666666666,0.5377049180327869,0.5952813067150635
65,temporal2,P1|P2|NEG|N1|N2,164,10,909,141,0.9425287356321839,0.5377049180327869,0.6847599164926931
66,comparative1,P1|NEG,624,407,781,54,0.6052376333656644,0.9203539823008849,0.7302516091281451
67,comparative1,P1|NEG|N1,598,43,1145,80,0.9329173166926678,0.8820058997050148,0.9067475360121304
68,comparative1,P1|NEG|N2,624,73,1115,54,0.8952654232424677,0.9203539823008849,0.9076363636363637
69,comparative1,P1|NEG|N1|N2,598,2,1186,80,0.9966666666666667,0.8820058997050148,0.9358372456964006
70,comparative1,P1|P2|NEG,40,76,1112,638,0.3448275862068966,0.058997050147492625,0.10075566750629722
71,comparative1,P1|P2|NEG|N1,14,2,1186,664,0.875,0.02064896755162242,0.040345821325648415
72,comparative1,P1|P2|NEG|N2,40,71,1117,638,0.36036036036036034,0.058997050147492625,0.10139416983523447
73,comparative1,P1|P2|NEG|N1|N2,14,0,1188,664,1.0,0.02064896755162242,0.04046242774566474
74,comparative2,P1|NEG,99,40,1193,0,0.7122302158273381,1.0,0.8319327731092437
75,comparative2,P1|NEG|N1,98,35,1198,1,0.7368421052631579,0.98989898989899,0.8448275862068965
76,comparative2,P1|P2|NEG,28,8,1225,71,0.7777777777777778,0.2828282828282828,0.41481481481481486
77,comparative2,P1|P2|NEG|N1,28,6,1227,71,0.8235294117647058,0.2828282828282828,0.42105263157894735
78,counters,P1|NEG,8,0,592,0,1.0,1.0,1.0
79,counters,P1|NEG|N1,8,0,592,0,1.0,1.0,1.0
80,counters,P1|P2|NEG,0,0,592,8,0.0,0.0,0.0
81,counters,P1|P2|NEG|N1,0,0,592,8,0.0,0.0,0.0
